Name,Salary,FPTS,Tournament,Par
J. Rahm,9300,105.5,Memorial,72
M. Fitzpatrick,8100,89,Memorial,72
R. Palmer,6400,89,Memorial,72
M. Wallace,7000,87,Memorial,72
T. Finau,8300,84.5,Memorial,72
J. Day,8000,81,Memorial,72
M. Hughes,6700,80.5,Memorial,72
H. Norlander,6300,76.5,Memorial,72
X. Schauffele,9200,74.5,Memorial,72
P. Reed,8400,73.5,Memorial,72
K. Na,7200,73.5,Memorial,72
B. Horschel,7500,70.5,Memorial,72
S. Kim,6400,70.5,Memorial,72
M. Wolff,7400,70,Memorial,72
X. Zhang,6000,69.5,Memorial,72
J. Spieth,7700,68.5,Memorial,72
G. Woodland,8600,67.5,Memorial,72
L. List,6500,67,Memorial,72
B. Steele,7100,66.5,Memorial,72
K. Mitchell,6200,66,Memorial,72
R. McIlroy,10700,65.5,Memorial,72
B. Watson,7300,65.5,Memorial,72
P. Rodgers,6800,65.5,Memorial,72
S. Harrington,6000,64.5,Memorial,72
J. Thomas,10900,62.5,Memorial,72
B. Todd,6900,61.5,Memorial,72
D. Willett,7000,61.5,Memorial,72
S. Scheffler,7200,61,Memorial,72
P. Cantlay,9800,60.5,Memorial,72
V. Hovland,9500,60,Memorial,72
S. Garcia,7800,59.5,Memorial,72
D. Frittelli,6600,59.5,Memorial,72
E. van Rooyen,7000,59,Memorial,72
C. Ortiz,6400,57.5,Memorial,72
C. Reavie,6700,57,Memorial,72
C. Bezuidenhout,6800,56.5,Memorial,72
H. English,7300,56,Memorial,72
M. Kuchar,8000,56,Memorial,72
R. Moore,6900,56,Memorial,72
S. Piercy,6400,56,Memorial,72
S. Stricker,6000,55.5,Memorial,72
C. Pettersson,6000,55,Memorial,72
T. Woods,9000,54,Memorial,72
C. Howell III,6600,54,Memorial,72
C. Pan,6200,54,Memorial,72
L. Glover,7100,53.5,Memorial,72
M. Leishman,7800,53.5,Memorial,72
C. Conners,7400,53.5,Memorial,72
A. Hadwin,7400,52.5,Memorial,72
J. Furyk,6500,52.5,Memorial,72
B. Koepka,9100,51.5,Memorial,72
C. Morikawa,10000,51,Memorial,72
P. Mickelson,7300,50.5,Memorial,72
J. Walker,6200,50.5,Memorial,72
L. Griffin,6800,48.5,Memorial,72
D. McCarthy,6100,47.5,Memorial,72
L. Oosthuizen,7300,47,Memorial,72
S. Munoz,6500,47,Memorial,72
B. Cauley,6600,46.5,Memorial,72
J. Dufner,6500,46,Memorial,72
K. Streelman,7600,45.5,Memorial,72
B. Hoag,6100,45.5,Memorial,72
S. Straka,7000,45,Memorial,72
V. Singh,6000,44.5,Memorial,72
A. Ancer,8500,44,Memorial,72
Z. Johnson,6700,43.5,Memorial,72
K. Bradley,7200,41,Memorial,72
W. McGirt,6100,41,Memorial,72
T. Duncan,6300,40.5,Memorial,72
M. Hubbard,6700,40,Memorial,72
C. Smith,6700,39.5,Memorial,72
S. Kang,6200,36,Memorial,72
S. Cink,6100,32.5,Memorial,72
B. DeChambeau,11100,31.5,Memorial,72
J. Dahmen,7100,31.5,Memorial,72
D. Berger,8700,30,Memorial,72
M. Homa,6800,29.5,Memorial,72
C. Schwartzel,6300,29.5,Memorial,72
R. Fowler,8800,29,Memorial,72
P. Casey,7900,28,Memorial,72
W. Clark,6300,27.5,Memorial,72
J. Herman,6000,27,Memorial,72
N. Taylor,6900,26.5,Memorial,72
J. Niemann,7900,25.5,Memorial,72
W. Simpson,9600,24.5,Memorial,72
B. An,7700,24.5,Memorial,72
J. Rose,8900,24.5,Memorial,72
B. Stuard,6500,23.5,Memorial,72
E. Els,6100,23,Memorial,72
R. Cabrera Bello,6900,23,Memorial,72
S. Im,8200,22,Memorial,72
K. Kisner,7500,22,Memorial,72
T. Gooch,6500,22,Memorial,72
I. Poulter,7600,21,Memorial,72
H. Varner III,7100,21,Memorial,72
B. Grace,6300,21,Memorial,72
A. Long,6400,20.5,Memorial,72
T. Hoge,6200,20.5,Memorial,72
S. Lowry,7200,20,Memorial,72
E. Grillo,6700,20,Memorial,72
B. Harman,7100,20,Memorial,72
R. Sabbatini,7500,19.5,Memorial,72
H. Li,6500,19,Memorial,72
A. Noren,6900,18.5,Memorial,72
H. Matsuyama,9400,18,Memorial,72
J. Poston,7000,18,Memorial,72
G. McDowell,6600,18,Memorial,72
T. Merritt,6600,17,Memorial,72
B. Wiesberger,6600,17,Memorial,72
V. Taylor,6500,17,Memorial,72
A. Landry,6300,17,Memorial,72
D. Johnson,10300,16.5,Memorial,72
D. Redman,7600,16.5,Memorial,72
M. Schwab,6400,16.5,Memorial,72
J. Scrivener,6000,16.5,Memorial,72
Z. Blair,6100,16.5,Memorial,72
P. Kuest,6000,16.5,Memorial,72
C. Champ,7400,15,Memorial,72
M. NeSmith,6200,13.5,Memorial,72
A. Putnam,6100,13.5,Memorial,72
J. Janewattananond,6200,13,Memorial,72
V. Perez,6300,12.5,Memorial,72
H. Higgs,6300,12,Memorial,72
A. Ogletree,6000,12,Memorial,72
M. McNealy,6800,9,Memorial,72
D. Lee,6400,7,Memorial,72
K. Tway,6100,7,Memorial,72
J. Kokrak,6900,6.5,Memorial,72
N. Lashley,6200,6,Memorial,72
K. Choi,6000,3,Memorial,72
D. Lingmerth,6100,2.5,Memorial,72
