Name,Salary,FPTS,Tournament,Par
C. Morikawa,8600,122.5,PGA Championship,70
D. Johnson,9000,104,PGA Championship,70
P. Casey,7500,99.5,PGA Championship,70
B. DeChambeau,10300,96.5,PGA Championship,70
S. Scheffler,7300,96.5,PGA Championship,70
M. Wolff,7500,96.5,PGA Championship,70
J. Day,8400,91,PGA Championship,70
T. Finau,7900,89,PGA Championship,70
J. Dahmen,6900,89,PGA Championship,70
J. Rose,7800,83.5,PGA Championship,70
B. An,7300,80.5,PGA Championship,70
C. Champ,7000,80,PGA Championship,70
K. Kisner,7100,78,PGA Championship,70
X. Schauffele,10000,76.5,PGA Championship,70
D. Berger,8800,76,PGA Championship,70
R. Palmer,6900,76,PGA Championship,70
I. Poulter,7100,76,PGA Championship,70
S. Kim,6700,75,PGA Championship,70
R. McIlroy,10700,74,PGA Championship,70
H. Li,6500,73.5,PGA Championship,70
P. Reed,8000,73,PGA Championship,70
J. Rahm,10500,71.5,PGA Championship,70
J. Thomas,11300,71,PGA Championship,70
D. Frittelli,6800,71,PGA Championship,70
H. Varner III,6600,71,PGA Championship,70
L. Griffin,6500,71,PGA Championship,70
M. Lorenzo-Vera,6200,70,PGA Championship,70
L. Oosthuizen,7600,69.5,PGA Championship,70
B. Todd,7400,69.5,PGA Championship,70
H. English,7200,68.5,PGA Championship,70
B. Steele,6900,68,PGA Championship,70
H. Matsuyama,8200,67,PGA Championship,70
T. Fleetwood,7700,67,PGA Championship,70
B. Wiesberger,6800,67,PGA Championship,70
V. Perez,6200,66.5,PGA Championship,70
B. Koepka,11100,66,PGA Championship,70
D. McCarthy,6300,65.5,PGA Championship,70
D. Redman,6900,64.5,PGA Championship,70
A. Long,6600,64,PGA Championship,70
K. Kitayama,6400,63.5,PGA Championship,70
C. Schwartzel,6900,62.5,PGA Championship,70
A. Scott,7800,62,PGA Championship,70
B. Cauley,6400,61.5,PGA Championship,70
R. Henley,6600,60.5,PGA Championship,70
S. Straka,6500,60.5,PGA Championship,70
P. Cantlay,9400,60,PGA Championship,70
T. Woods,9200,60,PGA Championship,70
K. Streelman,7100,60,PGA Championship,70
V. Hovland,8500,59.5,PGA Championship,70
B. Horschel,7400,59.5,PGA Championship,70
E. van Rooyen,7100,59,PGA Championship,70
C. Smith,6800,58.5,PGA Championship,70
A. Ancer,7700,57.5,PGA Championship,70
M. Hughes,6600,57.5,PGA Championship,70
M. Hubbard,6200,57.5,PGA Championship,70
L. List,6800,57,PGA Championship,70
N. Lashley,6100,57,PGA Championship,70
S. Lowry,7500,56.5,PGA Championship,70
D. Lee,6100,56,PGA Championship,70
W. Simpson,9700,55.5,PGA Championship,70
K. Mitchell,6300,55,PGA Championship,70
A. Hadwin,7300,54.5,PGA Championship,70
B. Snedeker,6900,54.5,PGA Championship,70
G. Woodland,7900,53,PGA Championship,70
E. Grillo,6800,53,PGA Championship,70
J. Poston,6700,53,PGA Championship,70
J. Luiten,6700,53,PGA Championship,70
B. Harman,6600,51,PGA Championship,70
P. Mickelson,7600,50.5,PGA Championship,70
J. Spieth,7700,50,PGA Championship,70
R. Sabbatini,6800,49.5,PGA Championship,70
T. Hoge,6300,49.5,PGA Championship,70
B. Watson,7400,48.5,PGA Championship,70
R. MacIntyre,6400,48,PGA Championship,70
J. Herman,6100,46,PGA Championship,70
C. Reavie,7400,45,PGA Championship,70
M. Wallace,7200,44,PGA Championship,70
S. Kang,6400,38.5,PGA Championship,70
S. Piercy,6500,32,PGA Championship,70
J. Dufner,6400,31.5,PGA Championship,70
R. Fowler,8300,30.5,PGA Championship,70
T. Hatton,8000,30,PGA Championship,70
R. Werenski,7000,28.5,PGA Championship,70
K. Na,7000,28,PGA Championship,70
C. Kim,6200,28,PGA Championship,70
A. Landry,6300,27.5,PGA Championship,70
Z. Johnson,6500,27,PGA Championship,70
R. Ishikawa,6100,27,PGA Championship,70
H. Stenson,7300,26.5,PGA Championship,70
M. Fitzpatrick,8100,26,PGA Championship,70
L. Herbert,6200,26,PGA Championship,70
X. Zhang,6600,25.5,PGA Championship,70
M. Leishman,7500,25,PGA Championship,70
J. Furyk,6600,25,PGA Championship,70
M. Kaymer,6700,25,PGA Championship,70
T. Lewis,7100,24.5,PGA Championship,70
C. Bezuidenhout,7000,23.5,PGA Championship,70
S. Norris,6100,23.5,PGA Championship,70
C. Pan,6200,23.5,PGA Championship,70
W. Clark,6200,23.5,PGA Championship,70
A. Beach,6000,23.5,PGA Championship,70
L. Glover,6700,23,PGA Championship,70
C. Tringale,6800,23,PGA Championship,70
S. Munoz,6400,23,PGA Championship,70
J. Kokrak,6500,22.5,PGA Championship,70
K. Bradley,6700,22.5,PGA Championship,70
C. Ortiz,6300,22.5,PGA Championship,70
J. Niemann,7300,22,PGA Championship,70
T. Gooch,6400,22,PGA Championship,70
J. Janewattananond,6300,22,PGA Championship,70
S. Garcia,7600,21.5,PGA Championship,70
S. Im,7600,21.5,PGA Championship,70
S. Stricker,6100,21.5,PGA Championship,70
J. Walker,6400,21.5,PGA Championship,70
C. Conners,7000,21,PGA Championship,70
M. Kuchar,7500,21,PGA Championship,70
M. Thompson,6600,21,PGA Championship,70
J. Caron,6000,21,PGA Championship,70
M. Schwab,6900,20,PGA Championship,70
G. McDowell,6500,20,PGA Championship,70
J. Kim,6200,20,PGA Championship,70
M. Homa,7200,19.5,PGA Championship,70
M. Jones,6300,19.5,PGA Championship,70
J. O'Leary,6000,19.5,PGA Championship,70
B. Sowards,6000,19.5,PGA Championship,70
D. Willett,7200,19,PGA Championship,70
B. Hebert,6100,18.5,PGA Championship,70
B. Cook,6000,18.5,PGA Championship,70
T. Merritt,6500,18,PGA Championship,70
R. Cabrera Bello,6700,18,PGA Championship,70
T. Duncan,6200,17.5,PGA Championship,70
R. Labritz,6000,17,PGA Championship,70
B. Stuard,6100,16.5,PGA Championship,70
A. Putnam,6100,16.5,PGA Championship,70
J. Campillo,6200,16,PGA Championship,70
J. Roth,6000,16,PGA Championship,70
D. Muttitt,6000,16,PGA Championship,70
D. Love III,6000,15,PGA Championship,70
M. Jertson,6000,15,PGA Championship,70
R. Berberian,6000,15,PGA Championship,70
S. Warren,6000,14.5,PGA Championship,70
N. Taylor,6300,14,PGA Championship,70
D. Balin,6000,13.5,PGA Championship,70
R. Vermeer,6000,13.5,PGA Championship,70
S. Micheel,6000,12.5,PGA Championship,70
M. Auterson,6000,12,PGA Championship,70
M. Kinhult,6300,11,PGA Championship,70
K. Tanigawa,6000,10.5,PGA Championship,70
R. Beem,6000,10,PGA Championship,70
R. Perry,6000,8.5,PGA Championship,70
J. Hart,6000,7.5,PGA Championship,70
J. Bertsch,6000,7.5,PGA Championship,70
A. Knoll,6000,4.5,PGA Championship,70
J. Gibb,6000,-1,PGA Championship,70
A. Noren,7400,-4,PGA Championship,70
