Name,Salary,FPTS,Tournament,Par
D. Berger,7700,119.5,Charles Schwab,70
P. Reed,9200,116,Charles Schwab,70
J. Rose,9000,114,Charles Schwab,70
C. Morikawa,9100,112,Charles Schwab,70
J. Kokrak,7200,109,Charles Schwab,70
X. Schauffele,9600,106,Charles Schwab,70
B. DeChambeau,10100,100.5,Charles Schwab,70
B. Watson,7200,98,Charles Schwab,70
P. Uihlein,6300,98,Charles Schwab,70
J. Spieth,8000,93.5,Charles Schwab,70
R. Sabbatini,7200,88.5,Charles Schwab,70
L. Glover,6700,87.5,Charles Schwab,70
J. Poston,7000,86.5,Charles Schwab,70
C. Champ,6600,86.5,Charles Schwab,70
S. Im,9300,86,Charles Schwab,70
G. Woodland,8800,86,Charles Schwab,70
C. Hadley,6400,86,Charles Schwab,70
C. Conners,7100,85,Charles Schwab,70
J. Thomas,10600,84,Charles Schwab,70
T. Finau,8700,83,Charles Schwab,70
H. Varner III,6900,83,Charles Schwab,70
P. Rodgers,6700,83,Charles Schwab,70
A. Ancer,7300,81.5,Charles Schwab,70
J. Dahmen,7500,80.5,Charles Schwab,70
B. Grace,7100,80,Charles Schwab,70
R. Cabrera Bello,6900,78.5,Charles Schwab,70
A. Hadwin,7300,75.5,Charles Schwab,70
I. Poulter,7300,74.5,Charles Schwab,70
T. Duncan,6400,74.5,Charles Schwab,70
J. Niemann,7400,74,Charles Schwab,70
M. Fitzpatrick,8200,73.5,Charles Schwab,70
B. Harman,7200,73.5,Charles Schwab,70
M. McNealy,7300,73,Charles Schwab,70
H. Higgs,7000,73,Charles Schwab,70
R. McIlroy,11800,72.5,Charles Schwab,70
K. Kisner,7600,72,Charles Schwab,70
B. Koepka,9700,72,Charles Schwab,70
B. Cauley,6800,71.5,Charles Schwab,70
V. Hovland,7900,70.5,Charles Schwab,70
M. NeSmith,6900,70.5,Charles Schwab,70
K. Bradley,7100,70,Charles Schwab,70
C. Howell III,6900,67.5,Charles Schwab,70
